name,comment,time,image
,,,
Jeanne Mak,"Hi Grab, I had once a ride payment rejected by my credit card issuer once. I have since settled this payment and yet you won’t let me book a ride or order grabfood with my credit cards. Your staff has been completely unhelpful, suggesting that I either…See more Hi Grab, I had once a ride payment rejected by my credit card issuer once. I have since settled this payment and yet you won’t let me book a ride or order grabfood with my credit cards. Your staff has been completely unhelpful, suggesting that I either…See more Hi Grab, I had once a ride payment rejected by my credit card issuer once. I have since settled this payment and yet you won’t let me book a ride or order grabfood with my credit cards. Your staff has been completely unhelpful, suggesting that I either Hi Grab, I had once a ride payment rejected by my credit card issuer once. I have since settled this payment and yet you won’t let me book a ride or order grabfood with my credit cards. Your staff has been completely unhelpful, suggesting that I either … · Like · ·",1574572059,
Grab,"Author  Hi Jeanne, let us help you with this. Can we get your registered email address and mobile number via PM to check further please? Hi Jeanne, let us help you with this. Can we get your registered email address and mobile number via PM to check further please? Hi Jeanne, let us help you with this. Can we get your registered email address and mobile number via PM to check further please? · Like · ·",1574572399,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Jeanne Mak,Grab just PM-ed Grab just PM-ed just PM-ed · Like · ·,1574575352,
Grab,Author  We will be right on it. We will be right on it. We will be right on it. · Like · ·,1574575701,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Jeanne Mak,"Grab  so you’re obviously not wanting to help and I’ve explained the problem many times. Do whatever it takes so I can use my credit cards. Seriously can’t wait for Go-Jek, you need to get off your pedestal and off your stupid social impact narrative. You’re a tech company supported by SoftBank, try to at least do the basic things properly and stop worrying about your PR. Grab  so you’re obviously not wanting to help and I’ve explained the problem many times. Do whatever it takes so I can use my credit cards. Seriously can’t wait for Go-Jek, you need to get off your pedestal and off your stupid social impact narrative. You’re a tech company supported by SoftBank, try to at least do the basic things properly and stop worrying about your PR. so you’re obviously not wanting to help and I’ve explained the problem many times. Do whatever it takes so I can use my credit cards. Seriously can’t wait for Go-Jek, you need to get off your pedestal and off your stupid social impact narrative. You’re a tech company supported by SoftBank, try to at least do the basic things properly and stop worrying about your PR. · Like · ·",1574578612,
Jeanne Mak,"Grab still not fixing my problem and telling me the exact same things when I’m still facing the same problem. There is something wrong in your system that prevents me from getting grab rides/food with my credit cards even though all my declined payment has been settled and my credit cards have been accepted in your system. Only if I switch to cash, can I get a grab ride. Fix it. Grab still not fixing my problem and telling me the exact same things when I’m still facing the same problem. There is something wrong in your system that prevents me from getting grab rides/food with my credit cards even though all my declined payment has been settled and my credit cards have been accepted in your system. Only if I switch to cash, can I get a grab ride. Fix it. still not fixing my problem and telling me the exact same things when I’m still facing the same problem. There is something wrong in your system that prevents me from getting grab rides/food with my credit cards even though all my declined payment has been settled and my credit cards have been accepted in your system. Only if I switch to cash, can I get a grab ride. Fix it. · Like · · 14h",1574643548,
Ping Pong,Jeanne Mak get back ur money using consumer tribunal. Use that way coz grab have no ear to learn bout our problem Jeanne Mak get back ur money using consumer tribunal. Use that way coz grab have no ear to learn bout our problem Jeanne Mak get back ur money using consumer tribunal. Use that way coz grab have no ear to learn bout our problem · Like · · 2h,1574684278,
,,,
Zulaikha Ibadillah,It’s already at the end of the month’s week. And if I’m not mistaken only 1 winner for the contest right? Hopefully you will announce tomorrow the latest. Hopefully good news for me too 😬 It’s already at the end of the month’s week. And if I’m not mistaken only 1 winner for the contest right? Hopefully you will announce tomorrow the latest. Hopefully good news for me too 😬 It’s already at the end of the month’s week. And if I’m not mistaken only 1 winner for the contest right? Hopefully you will announce tomorrow the latest. Hopefully good news for me too 😬 😬 😬 · Like · · 8h,1574664966,
Grab,Author  Hi Zulaikha. We will announce it very soon yea :) Hang tight! Hi Zulaikha. We will announce it very soon yea :) Hang tight! Hi Zulaikha. We will announce it very soon yea :) Hang tight! :) :) 1 1  1 · Like · · 8h,1574665764,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Jason QuoPhing,I am dumbfounded by Grab. My only option now is either JustGrab or GrabCarPlus. What the hell is going on?? Daylight robbery???The reason i use Grab is I DON'T WANT TO USE TEKSI. Why do u mess this shit up? I am dumbfounded by Grab. My only option now is either JustGrab or GrabCarPlus. What the hell is going on?? Daylight robbery???The reason i use Grab is I DON'T WANT TO USE TEKSI. Why do u mess this shit up? I am dumbfounded by Grab. My only option now is either JustGrab or GrabCarPlus. What the hell is going on?? Daylight robbery??? The reason i use Grab is I DON'T WANT TO USE TEKSI. Why do u mess this shit up? · Like · ·,1574560677,
Grab,Author  We have replied to your PM. Thanks! We have replied to your PM. Thanks! We have replied to your PM. Thanks! · Like · ·,1574560959,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Steven Tan,Jason QuoPhing I think the Gov messed it up haha Jason QuoPhing I think the Gov messed it up haha I think the Gov messed it up haha · Like · ·,1574586308,
Jason QuoPhing,Steven Tan but why did they not voice it out to against of it all? The consequences are so obvious Steven Tan but why did they not voice it out to against of it all? The consequences are so obvious but why did they not voice it out to against of it all? The consequences are so obvious · Like · ·,1574593067,
Steven Tan,Jason QuoPhing Some ministers are arrogant and obstinate. So maybe no point voicing out. Last week I took Grab from USJ1 to Sunway rm26 haha Jason QuoPhing Some ministers are arrogant and obstinate. So maybe no point voicing out. Last week I took Grab from USJ1 to Sunway rm26 haha Some ministers are arrogant and obstinate. So maybe no point voicing out. Last week I took Grab from USJ1 to Sunway rm26 haha · Like · ·,1574594744,
,,,
Ravinder Sandhu Vin Vin,"Hi grab , your point system are no longer good.  From 9-12 points you decrease to 3 points haha funny ... And what's the benefits of platinum member then ? Pay cash also same ,pay grab wallet also same ... Huhu no standard at all ... Poor management ☹️ Hi grab , your point system are no longer good.  From 9-12 points you decrease to 3 points haha funny ... And what's the benefits of platinum member then ? Pay cash also same ,pay grab wallet also same ... Huhu no standard at all ... Poor management ☹️ Hi grab , your point system are no longer good.  From 9-12 points you decrease to 3 points haha funny ... And what's the benefits of platinum member then ? Pay cash also same ,pay grab wallet also same ... Huhu no standard at all ... Poor management ☹️ ☹️ ☹️ · Like · · 23h",1574608649,
Grab,"Author  Hi Ravinder, sorry to inform that the bonus points multiplier has been ended 30 September. 😞  As of now, our platinum users do enjoy priority allocation on ride booking and exclusive vouchers. Our reward team is working on this to bring more rewards program to our loyal customers. Thanks for bringing this to our attention! 🙏 Hi Ravinder, sorry to inform that the bonus points multiplier has been ended 30 September. 😞  As of now, our platinum users do enjoy priority allocation on ride booking and exclusive vouchers. Our reward team is working on this to bring more rewards program to our loyal customers. Thanks for bringing this to our attention! 🙏 Hi Ravinder, sorry to inform that the bonus points multiplier has been ended 30 September. 😞  As of now, our platinum users do enjoy priority allocation on ride booking and exclusive vouchers. Our reward team is working on this to bring more rewards program to our loyal customers. Thanks for bringing this to our attention! 🙏 😞 😞 🙏 🙏 1 1  1 · Like · · 23h",1574609385,/images/assets_DO_NOT_HARDCODE/facebook_icons/microphone-karaoke_filled_12_fds-spectrum-blue-gray.png
Amin Finger,Bodoh punya Grab nak detect gambar bagai.. 5-10minit x setel2 lagi.. nak senangkan urusan ke nak susahkan urusan.. bad shit service Bodoh punya Grab nak detect gambar bagai.. 5-10minit x setel2 lagi.. nak senangkan urusan ke nak susahkan urusan.. bad shit service Bodoh punya Grab nak detect gambar bagai.. 5-10minit x setel2 lagi.. nak senangkan urusan ke nak susahkan urusan.. bad shit service · Like · · 11h,1574653442,
